element_id,node_ids,ai_severity,primary_action,confidence
1,"17,32,22101,21616",LOW,Project to CAD,0.5955487572633587
2,"13,22333,54,22299",LOW,Project to CAD,0.5366870014138836
4,"21351,38,22366,21121",LOW,Accept mesh,0.46
5,"21,22098,21388,21415",LOW,Project to CAD,0.5978137068351852
7,"22436,20875,22434,56",LOW,Project to CAD,0.5761398424685664
10,"22050,20425,62,25",MEDIUM,Project to CAD,0.7092368935818921
13,"22333,13,22311,21361",LOW,Project to CAD,0.6387809140896932
14,"21361,22311,21351,21965",LOW,Accept mesh,0.38
16,"21272,22246,22255,22269",LOW,Accept mesh,0.4
18,"20532,22345,20673,22015",LOW,Accept mesh,0.36
19,"21922,21920,21947,21921",HIGH,Remesh area,0.6450877466358739
20,"21923,22246,21272,21974",LOW,Accept mesh,0.42
21,"23,22170,22186,22178",LOW,Project to CAD,0.5641811412744431
23,"22434,20745,40,56",LOW,Accept mesh,0.48
24,"20321,22059,20327,22107",LOW,Accept mesh,0.42
26,"23,22121,18746,22162",LOW,Project to CAD,0.5271275952215637
27,"21932,27,22166,21933",LOW,Accept mesh,0.36
29,"21857,21859,21351,21965",MEDIUM,Remesh area,0.5989368318197913
31,"20428,22050,20528,22165",LOW,Accept mesh,0.35
32,"34,21373,30,22093",MEDIUM,Project to CAD,0.7083252962325479
33,"21850,21272,21974,22018",MEDIUM,Remesh area,0.5934041190158674
35,"38,36,22284,21939",LOW,Project to CAD,0.6785797939047297
36,"21408,20327,22059,1968",MEDIUM,Remesh area,0.6150764717818461
37,"22050,25,21678,20528",LOW,Accept mesh,0.44
38,"36,21324,21974,21174",LOW,Accept mesh,0.38
39,"21902,21899,22366,38",LOW,Project to CAD,0.6659321917246874
47,"3852,22153,16961,22075",LOW,Accept mesh,0.33
49,"21947,7,21366,21367",MEDIUM,Reduce skew,0.7135422598057835
50,"20673,22412,20745,22015",LOW,Accept mesh,0.44
51,"20923,21993,60,20877",LOW,Accept mesh,0.28
52,"22299,54,52,21908",LOW,Project to CAD,0.5940716670798614
54,"20877,60,48,21868",LOW,Accept mesh,0.37
55,"21174,44,46,22284",LOW,Project to CAD,0.4817735137433481
